player_name,surface,tourney_level,avg_ace,avg_df,avg_svpt,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced
Fabio Fognini,Clay,A,1.8571428571428572,4.142857142857143,69.57142857142857,43.42857142857143,26.714285714285715,11.857142857142858,10.714285714285714,3.857142857142857,8.0
Fabio Fognini,Clay,G,2.6666666666666665,5.333333333333333,117.0,72.66666666666667,44.0,21.666666666666668,18.0,7.333333333333333,14.0
Fabio Fognini,Clay,M,4.0,3.3333333333333335,77.66666666666667,45.333333333333336,31.333333333333332,17.0,11.333333333333334,6.0,8.666666666666666
Fabio Fognini,Hard,A,2.8,6.8,82.6,44.0,31.0,18.0,11.6,5.4,8.8
Fabio Fognini,Hard,G,4.0,2.0,66.0,46.0,26.0,7.0,11.0,5.0,11.0
Fabio Fognini,Hard,M,4.0,4.0,66.33333333333333,41.666666666666664,28.333333333333332,10.0,11.0,2.3333333333333335,6.0
Facundo Bagnis,Clay,A,5.375,2.75,74.875,49.5,32.125,12.125,11.125,3.75,6.75
Facundo Bagnis,Hard,G,11.0,3.0,137.0,93.0,58.0,22.0,20.0,5.0,10.0
Facundo Bagnis,Hard,M,6.5,2.5,64.0,42.5,24.5,10.0,10.0,4.0,8.0
Facundo Diaz Acosta,Clay,A,4.0,4.0,89.0,53.5,36.0,19.5,14.5,4.5,8.5
Facundo Diaz Acosta,Clay,G,3.0,5.0,123.0,71.0,48.0,26.0,21.0,6.0,12.0
Facundo Diaz Acosta,Hard,A,1.0,4.0,71.0,47.0,33.5,10.5,11.5,4.0,6.5
Facundo Diaz Acosta,Hard,G,5.0,6.0,113.0,75.0,52.0,16.0,16.0,7.0,9.0
Federico Coria,Clay,A,2.9166666666666665,2.0,64.75,44.083333333333336,27.416666666666668,11.333333333333334,9.833333333333334,4.333333333333333,7.25
Federico Coria,Clay,G,3.0,9.0,167.0,108.0,59.0,27.0,21.0,16.0,24.0
