player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
100644,Alexander Zverev,R,198,26,9,2,55,39,29,7,10,3,5,22,48,Grass,A,3,0,6
100644,Alexander Zverev,R,198,26,5,2,81,60,42,15,16,1,3,9,52,Hard,M,3,1,10
100644,Alexander Zverev,R,198,26,11,2,132,100,70,17,17,11,13,9,26,Hard,M,3,1,10
100644,Alexander Zverev,R,198,26,5,6,36,18,11,3,7,0,4,16,37,Hard,M,3,0,8
100644,Alexander Zverev,R,198,26,10,3,80,55,44,10,12,4,6,17,2,Hard,M,3,0,8
100644,Alexander Zverev,R,198,25,12,2,80,58,43,14,15,2,4,16,47,Hard,A,3,1,2
100644,Alexander Zverev,R,198,25,11,1,51,39,35,9,11,0,0,16,92,Hard,A,3,1,2
100644,Alexander Zverev,R,198,25,5,1,61,50,42,4,11,6,6,16,67,Hard,A,3,1,2
100644,Alexander Zverev,R,198,26,4,3,43,26,23,9,8,0,0,10,44,Hard,A,3,1,10
100644,Alexander Zverev,R,198,26,9,0,55,45,36,3,9,5,5,10,18,Hard,A,3,1,10
100644,Alexander Zverev,R,198,25,8,1,101,62,41,21,15,9,13,14,59,Hard,M,3,1,3
100644,Alexander Zverev,R,198,26,12,4,107,65,52,21,15,8,9,16,53,Clay,M,3,1,4
100644,Alexander Zverev,R,198,26,12,1,90,65,48,11,13,7,10,10,5,Hard,A,3,0,10
100644,Alexander Zverev,R,198,25,1,8,56,34,22,8,9,4,8,12,81,Hard,A,3,0,1
100644,Alexander Zverev,R,198,26,2,0,10,9,7,1,2,0,0,27,59,Clay,A,3,1,5
100644,Alexander Zverev,R,198,26,16,2,97,75,59,11,16,5,6,7,2,Hard,A,3,1,11
100644,Alexander Zverev,R,198,26,6,4,82,54,37,11,15,3,8,22,107,Clay,M,3,1,5
100644,Alexander Zverev,R,198,25,3,5,60,48,31,3,8,3,6,12,9,Hard,A,3,0,1
100644,Alexander Zverev,R,198,26,3,2,69,47,26,10,12,4,10,27,4,Clay,G,5,0,5
100644,Alexander Zverev,R,198,26,10,2,58,39,30,13,11,0,1,22,54,Clay,M,3,1,5
100644,Alexander Zverev,R,198,26,9,0,67,51,34,10,11,0,2,7,3,Hard,A,3,0,11
103852,Feliciano Lopez,L,188,41,11,4,57,31,28,16,11,4,5,634,62,Grass,A,3,1,6
